位置,段号,商品名,货号
A1,1,洁尔阴洗液,02538690
A1,2,复方氯己定含漱液,01003006
A1,3,硼酸洗液,01004776
A1,4,甲硝唑氯己定洗剂,01004776
A1,5,甲硝唑氯己定洗剂(伊人),01003035
A1,6,聚维酮碘溶液(华尔杰),01002801
A1,7,甲硝唑氯己定洗剂(辅太),01009787
A1,8,复方氯己定含漱液(中天),01005644
A1,9,甲硝唑氯己定洗剂(奇卫),01001074
A1,10,复方黄松洗液(肤阴洁)(源安堂),02005836
A1,11,洁尔阴洗液(恩威),10060222
A1,12,克林霉素甲硝唑搽剂(日扑)(雍康),00009700
A2,1,云南白药膏(云南),50020084
A2,2,铁棒锤止痛膏(奇正),02004652
A2,3,壮骨麝香止痛膏(羚锐)两只老,50020055
A2,5,关节止痛膏(羚锐),50020301
A2,6,伤湿止痛膏(羚锐),50090000
A2,7,麝香壮骨膏(余良),02005922
A2,8,麝香壮骨膏(金玛神),02005171
A3,1,清耳油（碧和堂）,02005191
A3,2,牙痛药水（迪康）,02005188
A3,3,云南白药膏（云南白药）,02005198
A3,4,消炎镇痛膏(羚锐),02004291
A3,5,周香壮骨膏(羚锐),02004119
A3,6,壮骨麝香止痛膏(羚锐),00000202
A3,7,麝香壮骨膏(皇家荣耀),02005827
A3,8,祛痛膏,01000639
A4,1,消炎镇痛膏(药邦)(仁和中方),01001189
A4,2,壮骨麝香止痛膏(羚锐),02000024
A4,3,参芪健胃颗粒(金丐),03000080
A4,4,伤湿止痛膏(羚锐),02007557
A4,5,麝香止痛贴膏(羚锐),02006521
A4,6,通络祛痛膏(骨质增生一贴灵),20039641
A4,7,关节止痛膏,92056848259
A4,8,麝香壮骨膏(两只老虎)(羚锐),02003674
A4,9,通络祛痛膏(四面弹)(羚锐),02004888
A4,10,舒尔(川)王,02005911
A4,11,君儿脐奶乐,02006849243
A5,1,消炎镇痛膏(金玛神),020002607
A5,2,麝香壮骨膏(天和),020005327
A5,3,四君子丸(吴太),04000298
A5,4,关节止痛膏(松益),02007291
A5,5,消炎镇痛膏(白云山),02005931
A5,6,胃舒止疼痛(乐赛),02006707
A5,7,胃舒止气痛(养肝),02006707
A5,8,麝香壮骨膏(典瑞),02006418
A5,9,消炎镇痛膏(贵珍),02006418
A5,11,清热散,02006418
A5,13,舒腹贴膏(羚锐),02002981
A5,14,桂枝(丁),02003740
A6,1,伤痛宁膏（景致）,02005257
A6,2,麝香壮骨膏（积盛和）,02007292
A6,3,伤湿止痛膏(乐赛仙),02007269
A6,4,麝香壮骨膏(乐赛仙),02007267
A6,5,麝香壮骨膏（杏林泰）YK,02005532
A6,6,消炎镇痛膏（杏林泰）YK,02005531
A6,7,骨通贴膏（天和）,02006430
A6,8,银胡感冒散(源安堂),02005909
A6,9,肠胃散(源安堂),02006128
A6,10,对乙酰氨基酚栓(状元娃),01004169
A6,11,小儿布洛芬栓(东信),01002536
A6,12,复方水杨酸甲酯薄荷醇贴剂(撒隆巴),01001743
A7,1,痛风定胶囊(葵花),50000837
A7,2,双氯芬酸钠缓释片(福瑞),6922887751069
A7,3,特拉唑(乐定泰),03007270
A7,5,复方黄柏湿疹巾,6914720200166
A7,6,马应龙麝香痔疮栓,00040044
